Name,Country_of_Operator,Operator_Owner,Users,Purpose,Class_of_Orbit,Type_of_Orbit,Perigee_km,Apogee_km,Eccentricity,Period_minutes,Launch_Mass_kg,Dry_Mass_kg,Power_watts,Date_of_Launch,Anticipated_Lifetime,Contractor,Country_of_Contractor,Launch_Site,Launch_Vehicle,Source_Used_for_Orbital_Data,longitude_radians_of_geo,Inclination_radians
AAUSat-3,Denmark,Aalborg University,Civil,Technology Development,LEO,NaN,770,787,0.00119,100.42,0.8,NaN,NaN,41330,1,Aalborg University,Denmark,Satish Dhawan Space Center,PSLV,SC - ASCR,NaN,1.721418241
"ABS-1 (LMI-1, Lockheed Martin-Intersputnik-1)",International,Asia Broadcasting Satellite,Commercial,Communications,GEO,NaN,35777,35794,2.00E-004,1436.08,2894,1730,6800,36429,15,Lockheed Martin,USA,Baikonur Cosmodrome,Proton,JM/12_08,1.309520538,0.000174533
"ABS-1A (Koreasat 2, Mugunghwa 2, ABS-1A)",International,Asia Broadcasting Satellite,Commercial,Communications,GEO,NaN,35785,35789,5.00E-005,1436.13,1459,800,1600,35078,10,Lockheed Martin Astro Space,USA,Cape Canaveral,Delta 2,JM/12_08,2.03400671,0.032463124
"ABS-2i (MBSat, Mobile Broadcasting Satellite, Han Byul)",China (PR),Asia Broadcasting Satellite,Commercial,Communications,GEO,NaN,35780,35793,0.00015,1436.1,4143,1700,7400,38059,12,Space Systems/Loral,USA,Cape Canaveral,Atlas 3,JM/12_08,1.308996939,0.000174533
"ABS-7 (Koreasat 3, Mugungwha 3)",International,Asia Broadcast Satellite,Commercial,Communications,GEO,NaN,35780,35791,0.00013,1436.06,3500,1800,4800,36407,15,Lockheed Martin Astro Space,USA,Guiana Space Center,Ariane,JM/12_08,2.027723525,0.000174533
AcrimSat (Active Cavity Radiometer Irradiance Monitor),USA,"NASA Goddard Space Flight Center, Jet Propulsion Laboratory",Government,Solar Physics,LEO,Sun-Synchronous,670,710,0.00283,98.6,115,13,10,36515,5,Orbital Sciences Corp.,USA,Vandenberg AFB,Taurus,www.satellitedebris.net 12/12,NaN,1.706932008
"Advanced Orion 2 (NROL 6, USA 139)",USA,National Reconnaissance Office (NRO),Military,Electronic Surveillance,GEO,NaN,35560,36013,0.00537,1436.14,4500,NaN,NaN,35924,NaN,TRW Space and Electronics,USA,Cape Canaveral,Titan IVA,JM/12_08,-0.253072742,0.134739418
"Advanced Orion 3 (NROL 19, USA 171)",USA,National Reconnaissance Office (NRO),Military,Electronic Surveillance,GEO,NaN,35589,35984,0.00468,1436.1,4500,NaN,NaN,37873,NaN,TRW Space and Electronics,USA,Cape Canaveral,Titan IV,JM/12_08,1.665044106,0.055850536
"Advanced Orion 4 (NRO L-26, USA 202)",USA,National Reconnaissance Office (NRO),Military,Electronic Surveillance,GEO,NaN,35714,35937,0.00264,1438.8,5000,NaN,NaN,39831,NaN,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,SC - ASCR,0.767944871,0.050440015
"Advanced Orion 5 (NRO L-32, USA 223)",USA,National Reconnaissance Office (NRO),Military,Electronic Surveillance,GEO,NaN,35500,35500,0,NaN,5000,NaN,NaN,40503,NaN,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,SC - ASCR,1.761037215,0
